"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.09.2024","222,50","228,55","229,00","216,76","416,69M","-2,84%"
"01.08.2024","229,00","224,37","232,92","196,00","52,99M","3,12%"
"01.07.2024","222,08","212,09","237,23","211,92","1,15B","5,44%"
"01.06.2024","210,62","192,90","220,20","192,15","1,72B","9,56%"
"01.05.2024","192,25","169,58","193,00","169,11","1,34B","12,87%"
"01.04.2024","170,33","171,19","178,36","164,07","1,25B","-0,67%"
"01.03.2024","171,48","179,55","180,53","168,49","1,43B","-5,13%"
"01.02.2024","180,75","183,99","191,05","179,25","1,16B","-1,98%"
"01.01.2024","184,40","187,15","196,38","180,17","1,19B","-4,22%"
"01.12.2023","192,53","190,33","199,62","187,45","1,06B","1,36%"
"01.11.2023","189,95","171,00","192,93","170,12","1,10B","11,23%"
"01.10.2023","170,77","171,22","182,34","165,67","1,17B","-0,26%"
