"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.09.2024","2.610,70","2.536,30","2.614,60","2.502,80","233,68K","3,29%"
"01.08.2024","2.527,60","2.490,55","2.570,20","2.404,05","175,64K","1,49%"
"01.07.2024","2.490,60","2.334,95","2.496,45","2.327,85","3,73M","6,45%"
"01.06.2024","2.339,60","2.335,00","2.394,30","2.292,90","288,86K","0,24%"
"01.05.2024","2.333,90","2.298,20","2.454,20","2.285,20","4,54M","1,35%"
"01.04.2024","2.302,90","2.243,50","2.436,60","2.238,50","441,98K","3,40%"
"01.03.2024","2.227,10","2.052,80","2.243,50","2.047,00","4,74M","8,39%"
"01.02.2024","2.054,70","2.047,70","2.072,90","1.987,20","384,71K","-0,13%"
"01.01.2024","2.057,40","2.072,70","2.088,10","2.004,00","3,84M","-0,70%"
"01.12.2023","2.071,80","2.049,00","2.140,70","1.979,00","251,34K","1,65%"
"01.11.2023","2.038,10","1.993,30","2.052,10","1.935,60","3,67M","2,20%"
"01.10.2023","1.994,30","1.864,40","2.019,70","1.823,50","4,66M","5,78%"
