"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.09.2024","71,41","72,47","73,53","70,48","132,30M","-1,46%"
"01.08.2024","72,47","67,00","72,57","66,70","311,24M","8,59%"
"01.07.2024","66,74","64,03","67,83","62,28","257,59M","4,85%"
"01.06.2024","63,65","62,71","64,36","61,95","222,37M","1,14%"
"01.05.2024","62,93","61,80","63,76","61,07","238,75M","1,88%"
"01.04.2024","61,77","61,18","62,83","57,93","300,61M","0,96%"
"01.03.2024","61,18","59,90","61,43","58,97","287,62M","1,93%"
"01.02.2024","60,02","59,57","61,62","58,79","284,36M","0,89%"
"01.01.2024","59,49","58,80","60,46","58,66","293,89M","0,95%"
"01.12.2023","58,93","58,27","60,04","57,47","313,53M","0,84%"
"01.11.2023","58,44","56,80","58,83","56,05","274,97M","3,45%"
"01.10.2023","56,49","55,91","56,72","51,55","387,97M","0,91%"
