"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.09.2024","524,62","521,31","527,58","495,64","98,22M","0,63%"
"01.08.2024","521,31","521,00","544,23","450,80","323,38M","9,79%"
"01.07.2024","474,83","504,95","542,81","442,65","324,02M","-5,83%"
"01.06.2024","504,22","470,86","522,88","468,24","226,95M","8,01%"
"01.05.2024","466,83","428,60","482,50","427,11","282,49M","8,52%"
"01.04.2024","430,17","487,20","531,49","414,50","437,30M","-11,41%"
"01.03.2024","485,58","492,11","523,57","476,00","279,21M","-0,93%"
"01.02.2024","490,13","393,94","494,36","393,05","465,57M","25,63%"
"01.01.2024","390,14","351,32","406,36","340,01","346,80M","10,22%"
"01.12.2023","353,96","325,48","361,90","313,66","334,63M","8,20%"
"01.11.2023","327,15","301,85","342,92","301,85","328,61M","8,59%"
"01.10.2023","301,27","302,74","330,54","279,40","511,37M","0,35%"
