"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.09.2024","14,74","14,72","15,10","13,42","338,10M","-1,54%"
"01.08.2024","14,97","12,07","15,06","9,67","1,40B","23,41%"
"01.07.2024","12,13","12,92","13,64","11,96","505,69M","-5,90%"
"01.06.2024","12,89","11,89","13,01","11,27","637,31M","8,50%"
"01.05.2024","11,88","10,83","12,49","10,56","548,34M","9,39%"
"01.04.2024","10,86","12,00","12,15","10,43","395,52M","-8,97%"
"01.03.2024","11,93","11,19","12,39","10,93","580,12M","7,67%"
"01.02.2024","11,08","8,83","11,23","8,72","775,41M","28,69%"
"01.01.2024","8,61","8,27","9,51","8,06","733,18M","3,36%"
"01.12.2023","8,33","8,14","8,68","8,08","360,46M","2,33%"
"01.11.2023","8,14","8,22","8,87","7,74","698,66M","-0,73%"
"01.10.2023","8,20","7,24","8,42","6,80","512,47M","13,10%"
