"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.09.2024","119,10","119,37","120,78","100,95","3,16B","-0,23%"
"01.08.2024","119,37","117,53","131,26","90,69","333,75M","2,01%"
"01.07.2024","117,02","123,47","136,15","102,54","6,41B","-5,28%"
"01.06.2024","123,54","113,62","140,76","112,00","7,44B","12,69%"
"01.05.2024","109,63","85,08","115,82","81,25","9,65B","26,89%"
"01.04.2024","86,40","90,30","92,22","75,61","10,07B","-4,38%"
"01.03.2024","90,36","80,00","97,40","79,44","12,15B","14,22%"
"01.02.2024","79,11","62,10","82,39","61,65","11,08B","28,57%"
"01.01.2024","61,53","49,24","63,49","47,32","9,71B","24,25%"
"01.12.2023","49,52","46,52","50,43","45,01","7,41B","5,88%"
"01.11.2023","46,77","40,88","50,55","40,87","9,15B","14,69%"
"01.10.2023","40,78","44,03","47,61","39,23","10,14B","-6,25%"
