"Data","Último","Abertura","Máxima","Mínima","Var%"
"01.09.2024","1.552,005","1.546,211","1.552,005","1.546,211","0,38%"
"01.08.2024","1.546,165","1.530,142","1.546,165","1.530,142","1,05%"
"01.07.2024","1.530,096","1.514,564","1.530,096","1.514,564","1,10%"
"01.06.2024","1.513,427","1.499,513","1.513,427","1.499,513","0,97%"
"01.05.2024","1.498,879","1.479,256","1.498,879","1.479,256","1,15%"
"01.04.2024","1.481,905","1.466,898","1.481,905","1.466,898","1,05%"
"01.03.2024","1.466,479","1.451,652","1.466,479","1.451,652","1,06%"
"01.02.2024","1.451,060","1.436,530","1.451,060","1.436,530","1,08%"
"01.01.2024","1.435,512","1.421,170","1.435,512","1.421,170","1,06%"
"01.12.2023","1.420,403","1.406,061","1.420,403","1.406,061","1,10%"
"01.11.2023","1.404,907","1.389,801","1.404,907","1.389,801","1,17%"
"01.10.2023","1.388,601","1.373,241","1.388,601","1.373,241","1,23%"
