"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.09.2024","59.416,2","58.975,7","60.625,4","52.644,6","1,25M","0,74%"
"01.08.2024","58.978,6","64.625,7","65.587,9","49.486,9","2,56M","-8,74%"
"01.07.2024","64.626,0","62.768,8","70.000,2","53.883,4","2,06M","2,98%"
"01.06.2024","62.754,3","67.533,9","71.956,5","58.589,9","1,60M","-7,07%"
"01.05.2024","67.530,1","60.665,0","71.872,0","56.643,5","2,10M","11,31%"
"01.04.2024","60.666,6","71.329,3","72.710,8","59.228,7","2,66M","-14,95%"
"01.03.2024","71.332,0","61.157,3","73.740,9","60.138,2","2,70M","16,61%"
"01.02.2024","61.169,3","42.580,1","63.915,3","41.890,5","1,74M","43,66%"
"01.01.2024","42.580,5","42.272,5","48.923,7","38.546,9","2,03M","0,73%"
"01.12.2023","42.272,5","37.712,9","44.697,6","37.618,3","1,63M","12,09%"
"01.11.2023","37.712,9","34.648,3","38.400,8","34.124,2","1,48M","8,84%"
"01.10.2023","34.650,6","26.962,5","35.191,4","26.558,4","1,61M","28,51%"
